"ID","grave_type","sex","Birth_year","Death_year","survival_time"
454,0,1,1925,2014,89
455,0,0,1948,2007,59
456,0,1,1925,2020,95
457,0,1,1922,2015,93
458,0,0,1945,2017,72
459,0,1,1925,2016,91
460,0,1,1954,2017,63
461,0,0,1937,2019,82
462,0,0,1932,2018,86
463,0,1,1936,2017,81
464,0,0,1934,2024,90
465,0,1,1925,2017,92
466,0,1,1937,2018,81
467,0,1,1960,2015,55
468,0,0,1958,2024,66
469,0,0,1937,2015,78
470,0,0,1957,2017,60
471,0,1,1945,2015,70
472,0,0,1944,2018,74
473,0,1,1925,2015,90
474,0,0,1921,2021,100
475,0,1,1916,2013,97
476,0,0,1935,2015,80
477,0,0,1937,1993,56
478,0,1,1939,2016,77
479,0,1,1922,2019,97
480,0,0,1943,2018,75
481,0,0,1931,2017,86
482,0,0,1941,2015,74
483,0,0,1959,2018,59
484,0,0,1935,2016,81
485,0,1,1931,2023,92
486,0,0,1941,2016,75
487,0,0,1951,2016,65
488,0,1,1921,2014,93
489,0,0,1934,2009,75
490,0,1,1939,2019,80
491,1,0,1907,1991,84
492,1,1,1906,2009,103
493,1,1,1970,2019,49
494,1,1,1923,2000,77
495,1,0,1920,2009,89
496,1,0,1921,1995,74
497,1,1,1920,2007,87
498,1,0,1901,1958,57
499,1,1,1900,1983,83
500,1,0,1921,2009,88
501,1,0,1929,2024,95
502,1,0,1911,1987,76
503,1,1,1922,2010,88
504,1,0,1935,1987,52
505,1,1,1936,2018,82
506,1,0,1946,2015,69
507,1,0,1911,2002,91
508,1,1,1919,2009,90
509,1,0,1917,1956,39
510,1,1,1918,2009,91
511,1,0,1907,1976,69
512,1,1,1913,1999,86
513,1,0,1965,2006,41
514,1,1,1901,1991,90
515,1,1,1917,2003,86
516,1,1,1906,2003,97
517,1,0,1927,2012,85
518,1,1,1928,2013,85
519,1,0,1899,1989,90
520,1,0,1920,1972,52
521,1,1,1922,2019,97
522,1,0,1920,2004,84
523,1,1,1927,2012,85
524,1,1,1923,2006,83
525,1,0,1924,1978,54
526,1,1,1924,2009,85
527,1,0,1944,1992,48
528,1,1,1920,1997,77
529,1,0,1936,2012,76
530,1,1,1947,2020,73
531,1,1,1918,2011,93
532,1,0,1919,2007,88
533,1,1,1919,1986,67
534,1,0,1916,2009,93
535,1,1,1928,2001,73
536,1,1,1916,2002,86
537,1,0,1925,2016,91
538,1,0,1934,1989,55
539,1,1,1936,2024,88
540,1,1,1933,1995,62
541,1,0,1930,2006,76
542,1,0,1929,1986,57
543,1,1,1933,2017,84
544,1,1,1936,2019,83
545,1,0,1904,1985,81
546,1,1,1907,2005,98
547,1,0,1925,1999,74
548,1,1,1928,2010,82
549,1,0,1902,1994,92
550,1,1,1926,2015,89
551,1,0,1923,2018,95
552,1,1,1908,1997,89
553,1,0,1903,1982,79
554,1,1,1917,1999,82
555,1,0,1920,1965,45
556,1,1,1923,2006,83
557,1,0,1920,2001,81
558,1,1,1921,2015,94
